method,round,tasks,samples,correct,pass_at_1,pass_at_4,ast_coverage_at_4,ast_correct_matched_coverage,ast_eligible_tasks,exact_correct_matched_coverage,exact_eligible_tasks
base,0,4,16,5,0.3125,0.5,0.5,1.0,1,2.0,1
plain,1,4,16,4,0.25,0.25,0.5,1.5,1,1.5,1
plain,2,4,16,7,0.4375,0.5,1.0,1.5,2,1.5,2
plain,3,4,16,8,0.5,0.75,1.25,1.6666666666666667,3,1.6666666666666667,3
plain,4,4,16,5,0.3125,0.5,0.75,1.5,1,1.8333333333333333,1
plain,5,4,16,6,0.375,0.5,1.0,1.75,2,1.9166666666666665,2
plain,6,4,16,7,0.4375,0.5,1.0,1.5,2,1.5,2
plain,7,4,16,6,0.375,0.5,0.75,1.5,2,1.5,2
plain,8,4,16,9,0.5625,0.75,1.75,1.75,2,1.9166666666666665,2
plain,9,4,16,7,0.4375,0.75,1.5,1.9166666666666665,2,1.9166666666666665,2
plain,10,4,16,6,0.375,0.5,0.75,1.5,2,1.5,2
spd_hard,1,4,16,6,0.375,0.75,1.0,1.5,1,1.5,1
spd_hard,2,4,16,8,0.5,0.75,1.25,1.5,2,1.5,2
spd_hard,3,4,16,8,0.5,0.75,1.25,1.6666666666666667,3,1.6666666666666667,3
spd_hard,4,4,16,6,0.375,0.5,1.0,1.75,2,1.9166666666666665,2
spd_hard,5,4,16,6,0.375,0.75,1.0,1.5,1,1.8333333333333333,1
spd_hard,6,4,16,7,0.4375,0.5,1.0,1.5,2,1.5,2
spd_hard,7,4,16,5,0.3125,0.5,0.5,1.0,1,1.0,1
spd_hard,8,4,16,8,0.5,0.75,1.5,1.75,2,1.9166666666666665,2
spd_hard,9,4,16,7,0.4375,0.75,1.25,1.75,2,1.75,2
spd_hard,10,4,16,7,0.4375,0.5,1.0,1.5,2,1.5,2
spectral_soft,1,4,16,5,0.3125,0.5,0.75,1.5,1,1.5,1
spectral_soft,2,4,16,7,0.4375,0.5,1.0,1.5,2,1.5,2
spectral_soft,3,4,16,8,0.5,0.75,1.25,1.6666666666666667,3,1.6666666666666667,3
spectral_soft,4,4,16,5,0.3125,0.5,0.75,1.5,1,1.8333333333333333,1
spectral_soft,5,4,16,6,0.375,0.5,1.0,1.75,2,1.9166666666666665,2
spectral_soft,6,4,16,7,0.4375,0.5,1.0,1.5,2,1.5,2
spectral_soft,7,4,16,6,0.375,0.5,0.75,1.5,2,1.5,2
spectral_soft,8,4,16,6,0.375,0.5,0.75,1.5,2,1.5,2
spectral_soft,9,4,16,6,0.375,0.5,1.25,1.9166666666666665,2,1.9166666666666665,2
spectral_soft,10,4,16,5,0.3125,0.5,0.5,1.0,1,1.0,1
